Number Parties,Number RBs,Number Slices,2p_protocol_ii Time (s),2p_protocol_ii Single Party Data (MB),2p_protocol_ii Global Data (MB),2p_protocol_ii Rounds
2,275,2,0.020972,0.00506,0.030936,519
2,275,3,0.03085,0.011812,0.125952,888
2,275,4,0.03601,0.013708,0.098952,971
2,275,5,0.04489,0.03026,0.3852,1344
2,275,6,0.043435,0.03274,0.395064,1431
2,275,7,0.041522,0.035692,0.406416,1520
2,275,8,0.043978,0.038412,0.30044,1613
2,275,9,0.053949,0.078936,0.646024,1994
2,275,10,0.050071,0.082224,0.658,2089
2,275,11,0.056053,0.086,0.671496,2188
2,275,12,0.06067,0.089528,0.689024,2287
2,275,13,0.055341,0.093888,0.704584,2390
2,275,14,0.056758,0.098,0.724176,2493
2,275,15,0.056028,0.102584,0.74132,2600
2,275,16,0.068818,0.106904,0.588752,2707
2,275,17,0.067797,0.204356,1.47446,3107
2,275,18,0.075532,0.209276,1.49732,3218
2,275,19,0.074465,0.214668,1.51734,3333
2,275,20,0.070787,0.219828,1.54119,3450
2,275,21,0.072607,0.225804,1.56328,3569
2,275,22,0.069502,0.231532,1.58954,3688
2,275,23,0.075375,0.237748,1.61699,3811
2,275,24,0.081937,0.2437,1.64441,3936
2,275,25,0.076409,0.250608,1.67505,4063
2,275,26,0.080448,0.25716,1.70528,4192
2,275,27,0.07699,0.264184,1.73657,4323
2,275,28,0.096137,0.27096,1.76766,4456
2,275,29,0.081737,0.278568,1.80054,4591
2,275,30,0.077958,0.285928,1.83302,4728
2,275,31,0.085463,0.29358,1.8664,4867
